s,NOME AGÊNCIA,ENDEREÇO,CIDADE,TIPO,AMBIENTE,ANDAR,CAPACIDADE,QUANTIDADE,MANTENEDORA,VENCIMENTO RECARGA,TESTE HIDROSTÁTICO,MEMORIAL
10789,BR CENTRO-F SANTANA-BA,AV GETULIO VARGAS 791,FEIRA DE SANTANA,PÓ QUIMICO,GERENCIA,1º ANDAR,4KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10789,BR CENTRO-F SANTANA-BA,AV GETULIO VARGAS 791,FEIRA DE SANTANA,PÓ QUIMICO,GERENCIA,1º ANDAR,6KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10789,BR CENTRO-F SANTANA-BA,AV GETULIO VARGAS 791,FEIRA DE SANTANA,H²O,GERENCIA,1º ANDAR,10L,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10789,BR CENTRO-F SANTANA-BA,AV GETULIO VARGAS 791,FEIRA DE SANTANA,PÓ QUIMICO,RETAGUARDA,1º ANDAR,6KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10789,BR CENTRO-F SANTANA-BA,AV GETULIO VARGAS 791,FEIRA DE SANTANA,PÓ QUIMICO,RETAGUARDA,1º ANDAR,4KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10789,BR CENTRO-F SANTANA-BA,AV GETULIO VARGAS 791,FEIRA DE SANTANA,PÓ QUIMICO,RETAGUARDA,1º ANDAR,6KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
11061,BROTAS-SALVADOR-BA,AV DOM JOAO VI 279,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
11061,BROTAS-SALVADOR-BA,AV DOM JOAO VI 279,SALVADOR,H²O,GERÊNCIA,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
11061,BROTAS-SALVADOR-BA,AV DOM JOAO VI 279,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
11061,BROTAS-SALVADOR-BA,AV DOM JOAO VI 279,SALVADOR,H²O,GERÊNCIA,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
11061,BROTAS-SALVADOR-BA,AV DOM JOAO VI 279,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
11061,BROTAS-SALVADOR-BA,AV DOM JOAO VI 279,SALVADOR,H²O,GERÊNCIA,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
11061,BROTAS-SALVADOR-BA,AV DOM JOAO VI 279,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
11061,BROTAS-SALVADOR-BA,AV DOM JOAO VI 279,SALVADOR,PÓ QUIMICO,RETAGUARDA,1º ANDAR,6KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
11061,BROTAS-SALVADOR-BA,AV DOM JOAO VI 279,SALVADOR,H²O,RETAGUARDA,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
11061,BROTAS-SALVADOR-BA,AV DOM JOAO VI 279,SALVADOR,PÓ QUIMICO,SALA DE REUNIÕES,1º ANDAR,6KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
11061,BROTAS-SALVADOR-BA,AV DOM JOAO VI 279,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
10903,CAB-CAP-BA,AV ULYSSES GUIMARAES 3302,SALVADOR,H²O,RETAGUARDA,1º ANDAR,10L,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10903,CAB-CAP-BA,AV ULYSSES GUIMARAES 3302,SALVADOR,H²O,RETAGUARDA,1º ANDAR,10L,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10903,CAB-CAP-BA,AV ULYSSES GUIMARAES 3302,SALVADOR,H²O,RETAGUARDA,1º ANDAR,10L,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10903,CAB-CAP-BA,AV ULYSSES GUIMARAES 3302,SALVADOR,H²O,ATM,1º ANDAR,10L,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10903,CAB-CAP-BA,AV ULYSSES GUIMARAES 3302,SALVADOR,H²O,GERÊNCIA,1º ANDAR,10L,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10903,CAB-CAP-BA,AV ULYSSES GUIMARAES 3302,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,6KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10903,CAB-CAP-BA,AV ULYSSES GUIMARAES 3302,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,6KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10903,CAB-CAP-BA,AV ULYSSES GUIMARAES 3302,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,6KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
10903,CAB-CAP-BA,AV ULYSSES GUIMARAES 3302,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,6KG,1,LACORTH,09/01/2020,01/09/2020,NÃO ENCONTRADO
3593,CAMACARI,PCA ABRANTES 325,CAMAÇARI,H²O,CAIXA,1º ANDAR,10L,1,LACORTH,01/01/2020,01/01/2020,NÃO ENCONTRADO
3593,CAMACARI,PCA ABRANTES 325,CAMAÇARI,H²O,GERENCIA,1º ANDAR,10L,1,LACORTH,01/01/2020,01/01/2020,NÃO ENCONTRADO
3593,CAMACARI,PCA ABRANTES 325,CAMAÇARI,PÓ QUIMICO,GERENCIA,1º ANDAR,6KG,1,LACORTH,01/01/2020,01/01/2020,NÃO ENCONTRADO
3593,CAMACARI,PCA ABRANTES 325,CAMAÇARI,PÓ QUIMICO,GERENCIA,1º ANDAR,6KG,1,LACORTH,01/01/2020,01/01/2020,NÃO ENCONTRADO
3593,CAMACARI,PCA ABRANTES 325,CAMAÇARI,PÓ QUIMICO,GERENCIA,1º ANDAR,6KG,1,LACORTH,01/01/2020,01/01/2020,NÃO ENCONTRADO
3593,CAMACARI,PCA ABRANTES 325,CAMAÇARI,PÓ QUIMICO,GERENCIA,1º ANDAR,12KG,1,LACORTH,01/01/2020,01/01/2020,NÃO ENCONTRADO
3593,CAMACARI,PCA ABRANTES 325,CAMAÇARI,PÓ QUIMICO,GERENCIA,1º ANDAR,12KG,1,LACORTH,01/01/2020,01/01/2020,NÃO ENCONTRADO
3593,CAMACARI,PCA ABRANTES 325,CAMAÇARI,PÓ QUIMICO,GERENCIA,1º ANDAR,12KG,1,LACORTH,01/01/2020,01/01/2020,NÃO ENCONTRADO
11932,CENTRO-ALAGOINHAS-BA,PCA RUI BARBOSA 143,ALAGOINHAS,PÓ QUIMICO,CASA DE MÁQUINAS,1º ANDAR,8kg,1,LACORTH,08/01/2020,01/08/2020,NÃO ENCONTRADO
11932,CENTRO-ALAGOINHAS-BA,PCA RUI BARBOSA 143,ALAGOINHAS,PÓ QUIMICO,GERENCIA,1º ANDAR,6KG,1,LACORTH,08/01/2020,01/08/2020,NÃO ENCONTRADO
11932,CENTRO-ALAGOINHAS-BA,PCA RUI BARBOSA 143,ALAGOINHAS,PÓ QUIMICO,CAIXA,1º ANDAR,6KG,1,LACORTH,08/01/2020,01/08/2020,NÃO ENCONTRADO
11932,CENTRO-ALAGOINHAS-BA,PCA RUI BARBOSA 143,ALAGOINHAS,H²O,CAIXA,1º ANDAR,10L,1,LACORTH,08/01/2020,01/08/2020,NÃO ENCONTRADO
11932,CENTRO-ALAGOINHAS-BA,PCA RUI BARBOSA 143,ALAGOINHAS,PÓ QUIMICO,RETAGUARDA,1º ANDAR,6KG,1,LACORTH,08/01/2020,01/08/2020,NÃO ENCONTRADO
11932,CENTRO-ALAGOINHAS-BA,PCA RUI BARBOSA 143,ALAGOINHAS,PÓ QUIMICO,AUTO ATEND.,1º ANDAR,6KG,1,LACORTH,08/01/2020,01/08/2020,NÃO ENCONTRADO
11932,CENTRO-ALAGOINHAS-BA,PCA RUI BARBOSA 143,ALAGOINHAS,PÓ QUIMICO,AUTO ATEND.,1º ANDAR,6KG,1,LACORTH,11/01/2017,01/08/2020,NÃO ENCONTRADO
11991,CENTRO-EUNAPOLIS-BA,AV PORTO SEGURO 680,EUNAPOLIS,PO BC,RETAGUARDA,1° ANDAR,4KG,1,LACORTH,09/01/2019,01/08/2019,NÃO ENCONTRADO
11991,CENTRO-EUNAPOLIS-BA,AV PORTO SEGURO 680,EUNAPOLIS,CO²,RETAGUARDA,1° ANDAR,6KG,1,LACORTH,09/01/2019,01/08/2019,NÃO ENCONTRADO
11991,CENTRO-EUNAPOLIS-BA,AV PORTO SEGURO 680,EUNAPOLIS,PO BC,ATM,1° ANDAR,4KG,1,LACORTH,09/01/2019,01/08/2019,NÃO ENCONTRADO
11991,CENTRO-EUNAPOLIS-BA,AV PORTO SEGURO 680,EUNAPOLIS,CO²,ATM,1° ANDAR,6KG,1,LACORTH,09/01/2019,01/08/2019,NÃO ENCONTRADO
11991,CENTRO-EUNAPOLIS-BA,AV PORTO SEGURO 680,EUNAPOLIS,H²O,GERENCIA,1° ANDAR,10L,1,LACORTH,09/01/2019,01/08/2019,NÃO ENCONTRADO
11991,CENTRO-EUNAPOLIS-BA,AV PORTO SEGURO 680,EUNAPOLIS,H²O,GERENCIA,1° ANDAR,10L,1,LACORTH,09/01/2019,01/08/2019,NÃO ENCONTRADO
11991,CENTRO-EUNAPOLIS-BA,AV PORTO SEGURO 680,EUNAPOLIS,H²O,PROSPERA,1° ANDAR,10L,1,LACORTH,09/01/2019,01/08/2019,NÃO ENCONTRADO
11991,CENTRO-EUNAPOLIS-BA,AV PORTO SEGURO 680,EUNAPOLIS,PO BC,BACK OFFICE,1° ANDAR,4KG,1,LACORTH,09/01/2019,01/08/2019,NÃO ENCONTRADO
11991,CENTRO-EUNAPOLIS-BA,AV PORTO SEGURO 680,EUNAPOLIS,PO BC,BACK OFFICE,1° ANDAR,4KG,1,LACORTH,09/01/2019,01/08/2019,NÃO ENCONTRADO
11991,CENTRO-EUNAPOLIS-BA,AV PORTO SEGURO 680,EUNAPOLIS,CO²,GERENCIA,1° ANDAR,6KG,1,LACORTH,07/01/2021,01/06/2021,NÃO ENCONTRADO
11918,CENTRO-TEIX. FREITAS-BA,AV MAL CASTELO BRANCO 425 AP 1 AND GALPAO,TEIXEIRA DE FREITAS,H²O,GERENCIA,1° ANDAR,10L,1,LACORTH,08/01/2020,01/07/2020,NÃO ENCONTRADO
11918,CENTRO-TEIX. FREITAS-BA,AV MAL CASTELO BRANCO 425 AP 1 AND GALPAO,TEIXEIRA DE FREITAS,PO BC,GERENCIA,1° ANDAR,4KG,1,LACORTH,08/01/2020,01/07/2020,NÃO ENCONTRADO
11918,CENTRO-TEIX. FREITAS-BA,AV MAL CASTELO BRANCO 425 AP 1 AND GALPAO,TEIXEIRA DE FREITAS,H²O,ATM / PUBLICO,1° ANDAR,10L,1,LACORTH,08/01/2020,01/07/2020,NÃO ENCONTRADO
11918,CENTRO-TEIX. FREITAS-BA,AV MAL CASTELO BRANCO 425 AP 1 AND GALPAO,TEIXEIRA DE FREITAS,PO ABC,ATM,1° ANDAR,4KG,1,LACORTH,08/01/2020,01/07/2020,NÃO ENCONTRADO
11918,CENTRO-TEIX. FREITAS-BA,AV MAL CASTELO BRANCO 425 AP 1 AND GALPAO,TEIXEIRA DE FREITAS,PO ABC,CORREDOR INTERNO,1° ANDAR,6KG,1,LACORTH,08/01/2020,01/07/2020,NÃO ENCONTRADO
11918,CENTRO-TEIX. FREITAS-BA,AV MAL CASTELO BRANCO 425 AP 1 AND GALPAO,TEIXEIRA DE FREITAS,PO ABC,SALA PROSPERA,1° ANDAR,6KG,1,LACORTH,08/01/2020,01/07/2020,NÃO ENCONTRADO
11659,CTO ADM-CAMACARI-BA,R FRANCISCO DRUMOND 503,CAMAÇARI,H²O,CASA DE MAQUINAS,1° ANDAR,10L,1,LACORTH,02/01/2021,01/01/2021,NÃO ENCONTRADO
11659,CTO ADM-CAMACARI-BA,R FRANCISCO DRUMOND 503,CAMAÇARI,PO BC,CASA DE MAQUINAS,1° ANDAR,6KG,1,LACORTH,02/01/2021,01/01/2021,NÃO ENCONTRADO
11659,CTO ADM-CAMACARI-BA,R FRANCISCO DRUMOND 503,CAMAÇARI,CO²,CASA DE MAQUINAS,1° ANDAR,6KG,1,LACORTH,02/01/2021,01/01/2021,NÃO ENCONTRADO
11659,CTO ADM-CAMACARI-BA,R FRANCISCO DRUMOND 503,CAMAÇARI,CO²,RETAGUARDA,1° ANDAR,6KG,1,LACORTH,02/01/2021,01/01/2021,NÃO ENCONTRADO
11659,CTO ADM-CAMACARI-BA,R FRANCISCO DRUMOND 503,CAMAÇARI,PO BC,RETAGUARDA,1° ANDAR,6KG,1,LACORTH,02/01/2021,01/01/2021,NÃO ENCONTRADO
11659,CTO ADM-CAMACARI-BA,R FRANCISCO DRUMOND 503,CAMAÇARI,CO²,GERENCIA,1° ANDAR,6KG,1,LACORTH,02/01/2021,01/01/2021,NÃO ENCONTRADO
11659,CTO ADM-CAMACARI-BA,R FRANCISCO DRUMOND 503,CAMAÇARI,PO BC,GERENCIA,1° ANDAR,6KG,1,LACORTH,02/01/2021,01/01/2021,NÃO ENCONTRADO
11659,CTO ADM-CAMACARI-BA,R FRANCISCO DRUMOND 503,CAMAÇARI,PO BC,ENTRADA,1° ANDAR,6KG,1,LACORTH,02/01/2021,01/01/2021,NÃO ENCONTRADO
11659,CTO ADM-CAMACARI-BA,R FRANCISCO DRUMOND 503,CAMAÇARI,H²O,ENTRADA,1° ANDAR,10L,1,LACORTH,02/01/2021,01/01/2021,NÃO ENCONTRADO
22201,PA CENTRO MED GARIBALDI SALVADOR-BA,AV ANITA GARIBALDI 1555 LJ 1 A,SALVADOR,PÓ QUIMICO,SALA TÉCNICA,1º ANDAR,6KG,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
22201,PA CENTRO MED GARIBALDI SALVADOR-BA,AV ANITA GARIBALDI 1555 LJ 1 A,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,6KG,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
22201,PA CENTRO MED GARIBALDI SALVADOR-BA,AV ANITA GARIBALDI 1555 LJ 1 A,SALVADOR,H²O,GERÊNCIA,1º ANDAR,10L,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
22201,PA CENTRO MED GARIBALDI SALVADOR-BA,AV ANITA GARIBALDI 1555 LJ 1 A,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
22201,PA CENTRO MED GARIBALDI SALVADOR-BA,AV ANITA GARIBALDI 1555 LJ 1 A,SALVADOR,H²O,GERÊNCIA,1º ANDAR,6KG,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
22201,PA CENTRO MED GARIBALDI SALVADOR-BA,AV ANITA GARIBALDI 1555 LJ 1 A,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,6KG,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
22201,PA CENTRO MED GARIBALDI SALVADOR-BA,AV ANITA GARIBALDI 1555 LJ 1 A,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,6KG,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
22201,PA CENTRO MED GARIBALDI SALVADOR-BA,AV ANITA GARIBALDI 1555 LJ 1 A,SALVADOR,H²O,GERÊNCIA,1º ANDAR,10L,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
22201,PA CENTRO MED GARIBALDI SALVADOR-BA,AV ANITA GARIBALDI 1555 LJ 1 A,SALVADOR,H²O,GERÊNCIA,1º ANDAR,10L,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
22201,PA CENTRO MED GARIBALDI SALVADOR-BA,AV ANITA GARIBALDI 1555 LJ 1 A,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,H²O,GERÊNCIA,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,H²O,GERÊNCIA,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,H²O,GERÊNCIA,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,H²O,GERÊNCIA,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,H²O,VG,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,PÓ QUIMICO,VG,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,H²O,VG,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,PÓ QUIMICO,VG,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,H²O,VG,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,H²O,RETAGUARDA,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22354,PA EMPR THOME DE SOUZA-SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 3244 LJ 7,SALVADOR,PÓ QUIMICO,RETAGUARDA,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22198,PA ESTR.COCO-L.FREITAS-BA,AV SANTOS DUMONT 3475 LJ 22 A 28,LAURO DE FREITAS,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22198,PA ESTR.COCO-L.FREITAS-BA,AV SANTOS DUMONT 3475 LJ 22 A 28,LAURO DE FREITAS,PÓ QUIMICO,GERÊNCIA,1º ANDAR,6KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22198,PA ESTR.COCO-L.FREITAS-BA,AV SANTOS DUMONT 3475 LJ 22 A 28,LAURO DE FREITAS,H²O,GERÊNCIA,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22198,PA ESTR.COCO-L.FREITAS-BA,AV SANTOS DUMONT 3475 LJ 22 A 28,LAURO DE FREITAS,PÓ QUIMICO,RETAGUARDA,1º ANDAR,6KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22198,PA ESTR.COCO-L.FREITAS-BA,AV SANTOS DUMONT 3475 LJ 22 A 28,LAURO DE FREITAS,H²O,RETAGUARDA,1º ANDAR,10L,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22198,PA ESTR.COCO-L.FREITAS-BA,AV SANTOS DUMONT 3475 LJ 22 A 28,LAURO DE FREITAS,PÓ QUIMICO,RETAGUARDA,1º ANDAR,4KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
22198,PA ESTR.COCO-L.FREITAS-BA,AV SANTOS DUMONT 3475 LJ 22 A 28,LAURO DE FREITAS,PÓ QUIMICO,RETAGUARDA,1º ANDAR,6KG,1,LACORTH,01/01/2021,01/01/2021,NÃO ENCONTRADO
23098,PA FEIRA DE SANTANA-BA,R JOSE JOAQUIM SEABRA 73,FEIRA DE SANTANA,H²O,RETAGUARDA,1º ANDAR,10L,1,LACORTH,08/01/2020,01/08/2020,NÃO ENCONTRADO
23098,PA FEIRA DE SANTANA-BA,R JOSE JOAQUIM SEABRA 73,FEIRA DE SANTANA,H²O,RETAGUARDA,1º ANDAR,10L,1,LACORTH,08/01/2020,01/08/2020,NÃO ENCONTRADO
23098,PA FEIRA DE SANTANA-BA,R JOSE JOAQUIM SEABRA 73,FEIRA DE SANTANA,PÓ QUIMICO,RETAGUARDA,1º ANDAR,4KG,1,LACORTH,08/01/2020,01/08/2020,NÃO ENCONTRADO
23098,PA FEIRA DE SANTANA-BA,R JOSE JOAQUIM SEABRA 73,FEIRA DE SANTANA,PÓ QUIMICO,RETAGUARDA,1º ANDAR,6KG,1,LACORTH,08/01/2020,01/08/2020,NÃO ENCONTRADO
23098,PA FEIRA DE SANTANA-BA,R JOSE JOAQUIM SEABRA 73,FEIRA DE SANTANA,PÓ QUIMICO,RETAGUARDA,1º ANDAR,2KG,1,LACORTH,11/01/2020,01/08/2020,NÃO ENCONTRADO
23098,PA FEIRA DE SANTANA-BA,R JOSE JOAQUIM SEABRA 73,FEIRA DE SANTANA,PÓ QUIMICO,AGENCIA,1º ANDAR,2KG,1,LACORTH,11/01/2020,01/08/2020,NÃO ENCONTRADO
22199,PA SHOP ITAIGARA SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 1034 LJ 1 A A 3 A 56,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
22199,PA SHOP ITAIGARA SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 1034 LJ 1 A A 3 A 56,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,6KG,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
22199,PA SHOP ITAIGARA SALVADOR-BA,AV ANTONIO CARLOS MAGALHAES 1034 LJ 1 A A 3 A 56,SALVADOR,PÓ QUIMICO,GERÊNCIA,1º ANDAR,4KG,1,LACORTH,02/01/2021,01/02/2021,NÃO ENCONTRADO
